PLAYER_ID,player_name,clutch_pts,clutch_fga,clutch_fta,overall_pts,overall_fga,overall_fta,clutch_gp,seasons,clutch_ts,overall_ts,ts_diff
203118,Mike Scott,50,30,6,1535,1294,146,48,3,0.7659313725490196,0.5650695017080928,0.20086187084092677
1629216,Gabe Vincent,57,32,18,1692,1500,153,68,3,0.7139278557114228,0.5397749023811347,0.17415295333028813
2037,Jamal Crawford,51,34,9,1330,1180,223,42,2,0.6717597471022129,0.5202954339185679,0.15146431318364495
1628449,Chris Boucher,65,36,17,2074,1507,473,57,3,0.7474701011959521,0.6046224170903494,0.14284768410560278
202324,Derrick Favors,56,28,22,2669,1903,594,62,4,0.743099787685775,0.616579496941359,0.12652029074441595
1626169,Stanley Johnson,45,28,18,1640,1484,338,83,4,0.626391982182628,0.5022294085942476,0.12416257358838045
1629013,Landry Shamet,61,35,20,2681,2163,374,83,5,0.6963470319634704,0.5759250030074413,0.12042202895602905
203090,Maurice Harkless,60,39,13,1396,1133,241,76,4,0.670840787119857,0.5633393595041323,0.10750142761572468
202687,Bismack Biyombo,51,25,29,1402,1017,484,56,4,0.6753177966101696,0.5699372337311782,0.10538056287899134
201158,Marco Belinelli,79,53,14,2161,1768,345,63,3,0.6676808654496281,0.5628190436503803,0.10486182179924786
200765,Rajon Rondo,41,31,7,1303,1254,123,48,3,0.6015258215962441,0.49804299299758437,0.10348282859865976
1629308,Juan Toscano-Anderson,25,16,5,754,587,125,41,3,0.6868131868131868,0.5872274143302181,0.09958577248296874
1629026,Kenrich Williams,64,47,6,2054,1780,216,107,6,0.6446414182111201,0.5477216486048297,0.09691976960629034
1629001,De'Anthony Melton,115,74,37,2919,2500,458,97,5,0.6369073992024812,0.5402514140187746,0.09665598518370655
1628379,Luke Kennard,122,73,31,4517,3508,461,145,8,0.7040627885503232,0.6086223065397591,0.0954404820105641
1641706,Brandon Miller,77,55,11,1847,1574,252,42,2,0.6433823529411764,0.5481102511751579,0.09527210176601852
1631114,Jalen Williams,155,94,42,3901,2955,711,88,3,0.6890113798008535,0.5968774481002742,0.09213393170057926
1626220,Royce O'Neale,136,96,15,4244,3532,405,228,8,0.6627680311890839,0.5719368228127863,0.09083120837629755
1626161,Willie Cauley-Stein,120,73,43,2567,1998,645,106,4,0.6527415143603134,0.5624945218687001,0.09024699249161328
1641708,Amen Thompson,66,37,26,1562,1143,402,56,2,0.6812551610239472,0.5917204594357063,0.08953470158824095
1629048,Goga Bitadze,34,17,16,1162,800,314,42,3,0.7071547420965059,0.6192973480003411,0.08785739409616478
101139,CJ Miles,20,14,5,1038,910,155,40,2,0.617283950617284,0.5305663463504395,0.0867176042668445
1628365,Markelle Fultz,127,85,38,1707,1451,302,59,2,0.624262681871805,0.5388665808015758,0.08539610107022921
204020,Tyler Johnson,48,33,13,1736,1487,306,69,3,0.6198347107438017,0.5352606003798623,0.08457411036393936
1628984,Devonte' Graham,215,143,70,3402,2878,662,97,4,0.6185270425776754,0.5367149636510501,0.08181207892662534
201937,Ricky Rubio,158,94,84,3746,3158,961,123,5,0.6032376298106291,0.5230616279978999,0.08017600181272921
201959,Taj Gibson,94,47,47,2601,1884,525,107,5,0.6944444444444444,0.6148936170212767,0.07955082742316777
202693,Markieff Morris,89,60,27,2355,2007,355,68,4,0.6190873678352811,0.5443324704142012,0.07475489742107988
1630534,Ochai Agbaji,56,41,8,1589,1353,173,58,3,0.6289308176100629,0.5559365203761756,0.07299429723388728
203516,James Ennis III,35,20,15,1700,1280,382,65,4,0.6578947368421052,0.5869841445224021,0.07091059231970309
203932,Aaron Gordon,313,195,110,7776,5985,1843,234,8,0.642974527526705,0.5721079706647518,0.0708665568619532
201960,DeMarre Carroll,94,61,34,1727,1360,488,67,2,0.6187467087941021,0.5483514529567161,0.07039525583738604
201588,George Hill,88,47,45,2245,1706,443,86,5,0.6586826347305389,0.5905035456515793,0.06817908907895964
1628392,Isaiah Hartenstein,54,32,16,2188,1538,477,74,4,0.6915983606557378,0.6259010916081195,0.0656972690476183
1628370,Malik Monk,312,206,98,5533,4528,909,147,6,0.626204238921002,0.5613884852961469,0.06481575362485503
1627732,Ben Simmons,201,105,117,4673,3423,1411,161,5,0.642254601226994,0.5777923953469969,0.06446220587999707
1629726,Garrison Mathews,42,21,23,1357,955,353,41,3,0.6748071979434448,0.6110850925859213,0.06372210535752354
202355,Hassan Whiteside,96,59,29,3215,2290,831,82,4,0.6688963210702341,0.6053154795077647,0.06358084156246946
202694,Marcus Morris Sr.,227,153,65,5136,4183,871,151,6,0.625,0.5623883107326816,0.06261168926731842
203500,Steven Adams,164,89,83,4400,3121,1335,196,7,0.6532823454429573,0.5932477618379894,0.06003458360496783
203496,Robert Covington,200,141,44,3541,2928,480,150,5,0.6235969069593414,0.5639971967380225,0.059599710221318936
1626181,Norman Powell,250,146,94,6732,4918,1410,164,7,0.6671648163962425,0.6077567528528095,0.059408063543432976
201949,James Johnson,116,79,41,1924,1627,363,82,4,0.597691673536686,0.5384167636786962,0.05927490985798978
1629023,P.J. Washington,274,189,81,5121,4261,879,165,6,0.6098646723646725,0.5509105461555673,0.05895412620910512
202685,Jonas Valančiūnas,195,113,69,7276,5180,1517,149,7,0.6801060267857142,0.6221483442440163,0.057957682541697864
1629680,Matisse Thybulle,40,30,7,1586,1378,159,100,5,0.6045949214026602,0.5476670626260394,0.05692785877662088
201961,Wayne Ellington,99,72,12,2321,1906,186,95,5,0.640527950310559,0.5837995009658725,0.05672844934468646
1628367,Josh Jackson,72,55,24,2750,2480,710,62,3,0.5491153142159854,0.49240796447500357,0.056707349740981794
203083,Andre Drummond,232,151,89,5481,4202,1688,147,6,0.6100126209507784,0.5542275396786875,0.05578508127209081
1629632,Coby White,282,195,76,6405,5262,999,171,6,0.6172299071966381,0.5616883800223097,0.055541527174328365
1630202,Payton Pritchard,42,21,24,2441,1919,185,55,3,0.6653992395437262,0.6101279744051189,0.05527126513860725
1629057,Robert Williams III,48,22,19,1303,796,204,49,3,0.7905138339920948,0.735526553468208,0.054987280523886795
1629006,Josh Okogie,56,35,30,2225,1780,755,92,5,0.5809128630705394,0.5267020168544646,0.05421084621607475
1628401,Derrick White,272,184,67,6345,4904,1188,183,7,0.6370620198613454,0.5846072765869622,0.05245474327438315
1629312,Haywood Highsmith,39,24,17,1119,936,107,47,3,0.6194409148665819,0.5691296740855271,0.05031124078105487
200794,Paul Millsap,117,72,51,2029,1538,551,72,3,0.6194409148665819,0.5698029700523466,0.049637944814235335
203085,Austin Rivers,95,75,16,2481,2181,368,111,5,0.5789858605558263,0.5294675020914072,0.0495183584644191
203506,Victor Oladipo,283,201,88,3786,3155,785,98,5,0.5902719839813115,0.5407953376756942,0.04947664630561732
203121,Darius Miller,56,39,12,1204,971,138,61,2,0.6323396567299007,0.5834916450199666,0.048848011709934025
1626162,Kelly Oubre Jr.,345,257,77,7959,6552,1714,214,8,0.5930280528052806,0.5446773681386665,0.048350684666614074
1630230,Naji Marshall,76,52,24,2324,1859,496,76,4,0.6074168797953964,0.5593961217769734,0.04802075801842298
1630172,Patrick Williams,54,41,9,2483,2080,379,90,4,0.6005338078291815,0.5525734835941533,0.04796032423502827
204456,T.J. McConnell,95,63,33,3883,3276,354,119,7,0.6127450980392157,0.5657446907709164,0.04700040726829935
201954,Darren Collison,108,71,31,1708,1297,334,65,2,0.6379962192816635,0.591429125460539,0.04656709382112445
1626178,Rondae Hollis-Jefferson,64,50,16,1473,1211,499,58,2,0.5610098176718092,0.5148333519740521,0.04617646569775713
1629008,Michael Porter Jr.,140,94,24,4996,3761,558,119,4,0.6694720734506503,0.6234837215338997,0.04598835191675055
1629684,Grant Williams,86,52,36,2558,1971,462,108,5,0.6338443396226415,0.5882407049690012,0.04560363465364037
1630175,Cole Anthony,167,124,47,4015,3380,885,85,5,0.5771357478573403,0.5325781291452221,0.044557618712118274
200752,Rudy Gay,128,90,38,3043,2507,530,88,4,0.5997001499250375,0.5552514415006204,0.04444870842441706
1627826,Ivica Zubac,144,79,53,4387,2864,1038,126,5,0.7036747458952307,0.660549519381339,0.04312522651389172
202357,Nemanja Bjelica,57,38,16,2026,1617,221,66,3,0.6327708703374778,0.590932424864663,0.04183844547281479
203488,Mike Muscala,56,36,18,1581,1213,256,67,4,0.6375227686703097,0.5963157418303612,0.04120702683994848
201976,Patrick Beverley,101,67,42,2678,2213,503,130,6,0.5907814693495554,0.550050938249696,0.04073053109985947
1626179,Terry Rozier,499,370,136,8770,7529,1336,226,8,0.5804485389912525,0.540234869727628,0.04021366926362446
1629014,Anfernee Simons,288,205,76,5762,4741,816,115,6,0.6039255158530448,0.5648975302154493,0.039027985637595464
